Solution,Th1,Th2,Optimization Acc (%),Validation Acc (%),Test Acc (%),#Non-Zero Weights
1,-0.013615278346125683,0.013211466539371336,99.6,99.2,94.32000000000001,16038385
2,-0.014133228875424642,0.013420722157293046,99.2,98.95,94.0,15508591
3,-0.014436825892015226,0.013983361613816275,98.9,99.15,93.92,14929272
4,-0.015004711403422072,0.014439013561118345,98.6,98.85000000000001,93.56,14242109
5,-0.015844699069587513,0.015233023775038572,98.4,98.45,93.08999999999999,13201415
6,-0.016209356739880047,0.015518767622073219,97.89999999999999,98.0,92.73,12799560
7,-0.01610980140665512,0.015935047232257023,96.1,96.55,90.83,12639354
8,-0.016818200273544623,0.015463229515685623,92.9,93.85,87.29,12438411
9,-0.020143094003270325,0.019275921740815143,88.2,88.05,83.15,8775097
10,-0.019953998733144015,0.01925206370768436,88.3,87.8,82.82000000000001,8877807
11,-0.02073794991375254,0.019854071676172775,84.2,83.55,79.35,8265493
12,-0.020776234260937398,0.019942414165899435,83.3,82.69999999999999,79.19,8214347
13,-0.021209847252735056,0.02016708675341436,80.60000000000001,80.5,76.55999999999999,7933182
14,-0.02136851247604214,0.020527273289996272,78.8,78.9,75.32,7731627
15,-0.021592897903984304,0.020506653395291893,78.0,78.5,74.4,7641240
16,-0.021843522412470694,0.020878386544640276,76.9,75.64999999999999,72.58,7403236
17,-0.021968431189297775,0.020878386544640276,74.8,74.05000000000001,71.02000000000001,7350903
18,-0.0220889141490263,0.021106476969869756,74.2,72.95,70.03,7221900
19,-0.022176024677307588,0.02137102856713714,72.3,71.2,68.06,7096763
20,-0.02244002900588428,0.021593835141799047,70.1,69.25,66.58,6917367
21,-0.02270326175415126,0.02168432871756319,68.7,66.60000000000001,65.69,6784349
22,-0.023039118627501513,0.021918742149064564,65.60000000000001,63.14999999999999,62.22,6580891
23,-0.023242770745547373,0.022294971066342505,64.1,62.050000000000004,61.050000000000004,6387966
24,-0.023242770745547373,0.022427134766737335,61.9,60.8,59.63,6348080
25,-0.023550650624553648,0.02259935365755381,58.9,57.05,55.97,6184044
26,-0.023612063870329596,0.022671006724789868,57.8,56.699999999999996,55.42,6141138
27,-0.02374064563098202,0.02283708897229003,55.7,55.00000000000001,54.059999999999995,6046948
28,-0.024067417937189153,0.022922983736670358,53.400000000000006,52.449999999999996,51.57000000000001,5908758
29,-0.024275497062120236,0.023037694366300706,51.2,51.65,50.690000000000005,5804845
30,-0.024808276114103942,0.02381013723768728,48.6,49.05,47.48,5419210
31,-0.024910069453207843,0.02394855903784457,46.400000000000006,45.7,45.33,5350675
32,-0.025673065031839807,0.024469038433075345,45.9,45.1,44.42,4988770
33,-0.025673065031839807,0.024505734376131155,45.4,44.800000000000004,43.66,4979718
34,-0.02630398906955312,0.02501888909551435,41.9,41.8,41.49,4678188
35,-0.026378876841420977,0.02501888909551435,40.699999999999996,40.6,40.33,4658012
36,-0.026781973288371976,0.02552968255788697,35.9,35.699999999999996,34.93,4433830
37,-0.026815868921563926,0.025819076629704556,35.3,34.35,34.29,4361690
38,-0.027557090397647786,0.026318891797479056,32.800000000000004,32.25,31.52,4072228
39,-0.027801935491789213,0.026715270192357386,30.7,30.349999999999998,29.720000000000002,3934715
40,-0.02804289715877919,0.026894842446720232,28.1,28.7,27.339999999999996,3844076
41,-0.028070955814224204,0.027089010826428526,26.400000000000002,26.75,26.419999999999998,3800462
42,-0.028539826173358037,0.027624991325267995,22.3,24.05,23.09,3597751
43,-0.02935271482316529,0.030075328728848348,21.4,19.900000000000002,20.23,3042996
44,-0.029436218927571978,0.030075328728848348,21.099999999999998,19.35,19.98,3026806
45,-0.030003023286926576,0.03007382301344246,18.6,17.849999999999998,17.849999999999998,2919680
46,-0.030003023286926576,0.030116632420051522,18.099999999999998,16.85,17.2,2913806
47,-0.029985632812604506,0.030444567539844848,15.4,13.8,14.67,2872604
48,-0.030003023286926576,0.030816492756942267,13.4,12.75,13.34,2820532
49,-0.04900969481772881,0.049932919811245084,12.8,11.450000000000001,11.66,426094
50,-0.04999767893023575,0.04999941155817267,10.299999999999999,9.049999999999999,9.959999999999999,409393
