Layer Name,Non-Zero Weights,Color
conv1,5261,tab:gray
layer1.0.conv1,1771,tab:blue
layer1.0.conv2,14329,tab:blue
layer1.0.conv3,6815,tab:blue
layer1.0.downsample.0,6634,tab:blue
layer1.1.conv1,3647,tab:blue
layer1.1.conv2,4768,tab:blue
layer1.1.conv3,2552,tab:blue
layer1.2.conv1,6636,tab:blue
layer1.2.conv2,15773,tab:blue
layer1.2.conv3,4872,tab:blue
layer2.0.conv1,15643,tab:orange
layer2.0.conv2,59514,tab:orange
layer2.0.conv3,23286,tab:orange
layer2.0.downsample.0,41067,tab:orange
layer2.1.conv1,15074,tab:orange
layer2.1.conv2,35724,tab:orange
layer2.1.conv3,13463,tab:orange
layer2.2.conv1,23831,tab:orange
layer2.2.conv2,53464,tab:orange
layer2.2.conv3,21132,tab:orange
layer2.3.conv1,28772,tab:orange
layer2.3.conv2,65790,tab:orange
layer2.3.conv3,22994,tab:orange
layer3.0.conv1,65507,tab:green
layer3.0.conv2,221759,tab:green
layer3.0.conv3,95462,tab:green
layer3.0.downsample.0,144095,tab:green
layer3.1.conv1,35410,tab:green
layer3.1.conv2,75264,tab:green
layer3.1.conv3,35317,tab:green
layer3.2.conv1,55169,tab:green
layer3.2.conv2,119519,tab:green
layer3.2.conv3,54632,tab:green
layer3.3.conv1,46345,tab:green
layer3.3.conv2,111183,tab:green
layer3.3.conv3,45002,tab:green
layer3.4.conv1,51817,tab:green
layer3.4.conv2,117361,tab:green
layer3.4.conv3,48402,tab:green
layer3.5.conv1,61357,tab:green
layer3.5.conv2,149864,tab:green
layer3.5.conv3,61030,tab:green
layer3.6.conv1,65692,tab:green
layer3.6.conv2,151557,tab:green
layer3.6.conv3,68179,tab:green
layer3.7.conv1,71459,tab:green
layer3.7.conv2,162254,tab:green
layer3.7.conv3,75696,tab:green
layer3.8.conv1,73972,tab:green
layer3.8.conv2,169642,tab:green
layer3.8.conv3,76356,tab:green
layer3.9.conv1,69907,tab:green
layer3.9.conv2,165862,tab:green
layer3.9.conv3,77148,tab:green
layer3.10.conv1,74850,tab:green
layer3.10.conv2,176263,tab:green
layer3.10.conv3,82211,tab:green
layer3.11.conv1,75992,tab:green
layer3.11.conv2,178137,tab:green
layer3.11.conv3,78843,tab:green
layer3.12.conv1,83158,tab:green
layer3.12.conv2,169987,tab:green
layer3.12.conv3,82150,tab:green
layer3.13.conv1,87776,tab:green
layer3.13.conv2,170585,tab:green
layer3.13.conv3,85234,tab:green
layer3.14.conv1,90212,tab:green
layer3.14.conv2,169813,tab:green
layer3.14.conv3,81689,tab:green
layer3.15.conv1,80745,tab:green
layer3.15.conv2,157614,tab:green
layer3.15.conv3,70306,tab:green
layer3.16.conv1,84285,tab:green
layer3.16.conv2,157195,tab:green
layer3.16.conv3,71047,tab:green
layer3.17.conv1,87288,tab:green
layer3.17.conv2,172136,tab:green
layer3.17.conv3,75819,tab:green
layer3.18.conv1,92378,tab:green
layer3.18.conv2,173414,tab:green
layer3.18.conv3,82278,tab:green
layer3.19.conv1,104273,tab:green
layer3.19.conv2,184864,tab:green
layer3.19.conv3,91180,tab:green
layer3.20.conv1,107690,tab:green
layer3.20.conv2,188739,tab:green
layer3.20.conv3,92799,tab:green
layer3.21.conv1,111168,tab:green
layer3.21.conv2,187462,tab:green
layer3.21.conv3,94689,tab:green
layer3.22.conv1,111163,tab:green
layer3.22.conv2,180494,tab:green
layer3.22.conv3,93429,tab:green
layer4.0.conv1,270700,tab:red
layer4.0.conv2,780121,tab:red
layer4.0.conv3,363379,tab:red
layer4.0.downsample.0,568143,tab:red
layer4.1.conv1,370869,tab:red
layer4.1.conv2,726218,tab:red
layer4.1.conv3,366301,tab:red
layer4.2.conv1,400635,tab:red
layer4.2.conv2,666430,tab:red
layer4.2.conv3,337139,tab:red
