Layer Name,Total Weights,Non-Zero Weights,Sparsity,Group,Kernel Size,Output Filters
layer1.0.conv1,4096,1771,0.567626953125,layer1,1x1,64
layer1.0.conv2,36864,14329,0.6113009982638888,layer1,3x3,64
layer1.0.conv3,16384,6815,0.58404541015625,layer1,1x1,256
layer1.0.downsample.0,16384,6634,0.5950927734375,layer1,1x1,256
layer1.1.conv1,16384,3647,0.77740478515625,layer1,1x1,64
layer1.1.conv2,36864,4768,0.8706597222222222,layer1,3x3,64
layer1.1.conv3,16384,2552,0.84423828125,layer1,1x1,256
layer1.2.conv1,16384,6636,0.594970703125,layer1,1x1,64
layer1.2.conv2,36864,15773,0.5721299913194444,layer1,3x3,64
layer1.2.conv3,16384,4872,0.70263671875,layer1,1x1,256
layer2.0.conv1,32768,15643,0.522613525390625,layer2,1x1,128
layer2.0.conv2,147456,59514,0.5963948567708333,layer2,3x3,128
layer2.0.conv3,65536,23286,0.644683837890625,layer2,1x1,512
layer2.0.downsample.0,131072,41067,0.6866836547851562,layer2,1x1,512
layer2.1.conv1,65536,15074,0.769989013671875,layer2,1x1,128
layer2.1.conv2,147456,35724,0.7577311197916666,layer2,3x3,128
layer2.1.conv3,65536,13463,0.7945709228515625,layer2,1x1,512
layer2.2.conv1,65536,23831,0.6363677978515625,layer2,1x1,128
layer2.2.conv2,147456,53464,0.6374240451388888,layer2,3x3,128
layer2.2.conv3,65536,21132,0.67755126953125,layer2,1x1,512
layer2.3.conv1,65536,28772,0.56097412109375,layer2,1x1,128
layer2.3.conv2,147456,65790,0.5538330078125,layer2,3x3,128
layer2.3.conv3,65536,22994,0.649139404296875,layer2,1x1,512
layer3.0.conv1,131072,65507,0.5002212524414062,layer3,1x1,256
layer3.0.conv2,589824,221759,0.6240251329210069,layer3,3x3,256
layer3.0.conv3,262144,95462,0.6358413696289062,layer3,1x1,1024
layer3.0.downsample.0,524288,144095,0.7251605987548828,layer3,1x1,1024
layer3.1.conv1,262144,35410,0.8649215698242188,layer3,1x1,256
layer3.1.conv2,589824,75264,0.8723958333333334,layer3,3x3,256
layer3.1.conv3,262144,35317,0.8652763366699219,layer3,1x1,1024
layer3.2.conv1,262144,55169,0.7895469665527344,layer3,1x1,256
layer3.2.conv2,589824,119519,0.7973649766710069,layer3,3x3,256
layer3.2.conv3,262144,54632,0.791595458984375,layer3,1x1,1024
layer3.3.conv1,262144,46345,0.8232078552246094,layer3,1x1,256
layer3.3.conv2,589824,111183,0.8114980061848959,layer3,3x3,256
layer3.3.conv3,262144,45002,0.8283309936523438,layer3,1x1,1024
layer3.4.conv1,262144,51817,0.8023338317871094,layer3,1x1,256
layer3.4.conv2,589824,117361,0.8010236952039931,layer3,3x3,256
layer3.4.conv3,262144,48402,0.8153610229492188,layer3,1x1,1024
layer3.5.conv1,262144,61357,0.7659416198730469,layer3,1x1,256
layer3.5.conv2,589824,149864,0.7459174262152778,layer3,3x3,256
layer3.5.conv3,262144,61030,0.7671890258789062,layer3,1x1,1024
layer3.6.conv1,262144,65692,0.7494049072265625,layer3,1x1,256
layer3.6.conv2,589824,151557,0.7430470784505208,layer3,3x3,256
layer3.6.conv3,262144,68179,0.7399177551269531,layer3,1x1,1024
layer3.7.conv1,262144,71459,0.7274055480957031,layer3,1x1,256
layer3.7.conv2,589824,162254,0.7249111599392362,layer3,3x3,256
layer3.7.conv3,262144,75696,0.71124267578125,layer3,1x1,1024
layer3.8.conv1,262144,73972,0.7178192138671875,layer3,1x1,256
layer3.8.conv2,589824,169642,0.7123853895399306,layer3,3x3,256
layer3.8.conv3,262144,76356,0.7087249755859375,layer3,1x1,1024
layer3.9.conv1,262144,69907,0.7333259582519531,layer3,1x1,256
layer3.9.conv2,589824,165862,0.7187940809461806,layer3,3x3,256
layer3.9.conv3,262144,77148,0.7057037353515625,layer3,1x1,1024
layer3.10.conv1,262144,74850,0.7144699096679688,layer3,1x1,256
layer3.10.conv2,589824,176263,0.7011600070529513,layer3,3x3,256
layer3.10.conv3,262144,82211,0.6863899230957031,layer3,1x1,1024
layer3.11.conv1,262144,75992,0.710113525390625,layer3,1x1,256
layer3.11.conv2,589824,178137,0.6979827880859375,layer3,3x3,256
layer3.11.conv3,262144,78843,0.6992378234863281,layer3,1x1,1024
layer3.12.conv1,262144,83158,0.6827774047851562,layer3,1x1,256
layer3.12.conv2,589824,169987,0.7118004692925347,layer3,3x3,256
layer3.12.conv3,262144,82150,0.6866226196289062,layer3,1x1,1024
layer3.13.conv1,262144,87776,0.6651611328125,layer3,1x1,256
layer3.13.conv2,589824,170585,0.7107866075303819,layer3,3x3,256
layer3.13.conv3,262144,85234,0.6748580932617188,layer3,1x1,1024
layer3.14.conv1,262144,90212,0.6558685302734375,layer3,1x1,256
layer3.14.conv2,589824,169813,0.7120954725477431,layer3,3x3,256
layer3.14.conv3,262144,81689,0.6883811950683594,layer3,1x1,1024
layer3.15.conv1,262144,80745,0.6919822692871094,layer3,1x1,256
layer3.15.conv2,589824,157614,0.7327779134114583,layer3,3x3,256
layer3.15.conv3,262144,70306,0.7318038940429688,layer3,1x1,1024
layer3.16.conv1,262144,84285,0.6784782409667969,layer3,1x1,256
layer3.16.conv2,589824,157195,0.7334882948133681,layer3,3x3,256
layer3.16.conv3,262144,71047,0.7289772033691406,layer3,1x1,1024
layer3.17.conv1,262144,87288,0.667022705078125,layer3,1x1,256
layer3.17.conv2,589824,172136,0.7081570095486112,layer3,3x3,256
layer3.17.conv3,262144,75819,0.7107734680175781,layer3,1x1,1024
layer3.18.conv1,262144,92378,0.6476058959960938,layer3,1x1,256
layer3.18.conv2,589824,173414,0.7059902615017362,layer3,3x3,256
layer3.18.conv3,262144,82278,0.6861343383789062,layer3,1x1,1024
layer3.19.conv1,262144,104273,0.6022300720214844,layer3,1x1,256
layer3.19.conv2,589824,184864,0.6865776909722222,layer3,3x3,256
layer3.19.conv3,262144,91180,0.6521759033203125,layer3,1x1,1024
layer3.20.conv1,262144,107690,0.5891952514648438,layer3,1x1,256
layer3.20.conv2,589824,188739,0.6800079345703125,layer3,3x3,256
layer3.20.conv3,262144,92799,0.6459999084472656,layer3,1x1,1024
layer3.21.conv1,262144,111168,0.575927734375,layer3,1x1,256
layer3.21.conv2,589824,187462,0.6821729871961806,layer3,3x3,256
layer3.21.conv3,262144,94689,0.6387901306152344,layer3,1x1,1024
layer3.22.conv1,262144,111163,0.5759468078613281,layer3,1x1,256
layer3.22.conv2,589824,180494,0.6939866807725694,layer3,3x3,256
layer3.22.conv3,262144,93429,0.6435966491699219,layer3,1x1,1024
layer4.0.conv1,524288,270700,0.48368072509765625,layer4,1x1,512
layer4.0.conv2,2359296,780121,0.6693416171603732,layer4,3x3,512
layer4.0.conv3,1048576,363379,0.6534547805786133,layer4,1x1,2048
layer4.0.downsample.0,2097152,568143,0.729088306427002,layer4,1x1,2048
layer4.1.conv1,1048576,370869,0.6463117599487305,layer4,1x1,512
layer4.1.conv2,2359296,726218,0.6921886867947049,layer4,3x3,512
layer4.1.conv3,1048576,366301,0.6506681442260742,layer4,1x1,2048
layer4.2.conv1,1048576,400635,0.617924690246582,layer4,1x1,512
layer4.2.conv2,2359296,666430,0.7175301445855035,layer4,3x3,512
layer4.2.conv3,1048576,337139,0.6784791946411133,layer4,1x1,2048
