Solution,Th1,Th2,Optimization Acc (%),Validation Acc (%),Test Acc (%),#Non-Zero Weights,#Zero Weights
1,-0.014606359750710564,0.014213082744241733,99.8,98.8,93.97,9794177,13734345
2,-0.009810110699727172,0.010594426764193086,100.0,98.65,93.37,13247869,10280653
3,-0.02026277032485866,0.01943761211484094,97.6,95.89999999999999,90.8,6333858,17194664
4,-0.021028535454047943,0.020300236833682827,96.6,94.15,89.25999999999999,5911999,17616523
5,-0.02143595338761631,0.020574265060378034,95.6,93.8,88.86,5738821,17789701
6,-0.022039328295042477,0.021132047557025874,93.4,92.05,87.3,5456607,18071915
7,-0.022187879595118514,0.021196435816890277,92.80000000000001,91.55,86.75,5404109,18124413
8,-0.022640442013424952,0.02163905488911946,91.60000000000001,89.60000000000001,85.39999999999999,5196808,18331714
9,-0.022640442013424952,0.021822155551486283,90.0,88.1,84.49,5158910,18369612
10,-0.023792397349776232,0.022645912337360657,86.8,84.6,81.38,4722340,18806182
11,-0.024047546739048554,0.023036488841367816,85.6,82.25,79.4,4590946,18937576
12,-0.02410413824447909,0.023132670785735002,84.0,81.15,78.38000000000001,4560804,18967718
13,-0.024400041940474113,0.023269424003639478,81.0,80.60000000000001,77.19,4470951,19057571
14,-0.024435010649230662,0.023483080994843846,78.2,76.25,73.8,4424739,19103783
15,-0.02461051011258916,0.023657620219279682,76.4,75.75,73.02,4355714,19172808
16,-0.025266660175696863,0.024103536135799835,73.8,73.3,70.43,4141099,19387423
17,-0.025383820590943185,0.024103536135799835,71.2,71.25,68.5,4117306,19411216
18,-0.026041795130370103,0.024731874941002017,67.60000000000001,69.15,65.4,3883927,19644595
19,-0.026066910024292466,0.02493986152665505,65.2,66.14999999999999,62.72,3845390,19683132
20,-0.026130610460813632,0.024979462772087357,64.4,65.45,61.57,3827254,19701268
21,-0.02612539514556794,0.025069171428540447,62.4,63.05,59.79,3813967,19714555
22,-0.026337587755083176,0.024993465512942344,59.8,62.35000000000001,58.87,3786340,19742182
23,-0.02656181590143922,0.025069171428540447,58.4,59.4,56.19,3733291,19795231
24,-0.02678904506649439,0.025500348587289272,51.800000000000004,52.05,49.41,3624759,19903763
25,-0.026805733408116407,0.025500348587289272,50.6,51.4,49.03,3621908,19906614
26,-0.026960697707200873,0.025605531893998182,47.0,48.449999999999996,46.410000000000004,3578173,19950349
27,-0.026960697707200873,0.025500348587289272,48.199999999999996,47.4,45.96,3594316,19934206
28,-0.027178013321940007,0.025595498705148188,44.800000000000004,45.85,43.88,3541617,19986905
29,-0.027268612134528854,0.02594567935309309,42.8,44.25,41.94,3473327,20055195
30,-0.027271568272969907,0.025949851769698606,42.199999999999996,44.0,41.68,3472177,20056345
31,-0.02770940273922813,0.025988787890784067,39.2,37.85,37.84,3393162,20135360
32,-0.027845935028614,0.02602069526517017,35.6,35.55,34.79,3366266,20162256
33,-0.02785439666067084,0.02602069526517017,34.8,35.3,34.23,3364823,20163699
34,-0.028103384526356124,0.026430395286133668,33.4,33.5,32.65,3265189,20263333
35,-0.02839803107893335,0.026534935381477696,31.4,32.1,30.91,3203573,20324949
36,-0.028433042864911724,0.026534935381477696,30.0,31.8,30.23,3198077,20330445
37,-0.028694660843291347,0.026672859355969726,28.799999999999997,29.799999999999997,28.58,3138510,20390012
38,-0.028694660843291347,0.026850703530668374,25.4,26.85,26.05,3113978,20414544
39,-0.02981656466861589,0.027497330864189158,24.6,25.7,25.39,2866027,20662495
40,-0.029938267648635875,0.02754153150446086,23.799999999999997,25.15,24.44,2843743,20684779
41,-0.03140127478629,0.028910347202199968,22.400000000000002,23.1,22.93,2490261,21038261
42,-0.03140127478629,0.029029451234165737,21.0,21.5,21.09,2476725,21051797
43,-0.03140127478629,0.029098506901972906,19.400000000000002,20.65,19.689999999999998,2468896,21059626
44,-0.0342591486641322,0.033307242844695356,17.0,15.4,16.33,1777759,21750763
45,-0.03533123105058939,0.034609979359321696,14.2,13.850000000000001,14.530000000000001,1592019,21936503
46,-0.03532005305845403,0.034609979359321696,15.8,13.350000000000001,14.31,1592959,21935563
47,-0.03531999339748711,0.034799182593859286,12.2,10.65,11.29,1580175,21948347
48,-0.035993654268210905,0.035280651507999986,11.4,10.7,10.73,1496156,22032366
49,-0.049997695521583535,0.0499958243459962,10.0,9.049999999999999,10.0,437276,23091246
50,-0.03604162472651075,0.03574136743515362,10.2,9.15,9.99,1463602,22064920
